name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
ITP237^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP239_2,9.687024,-1.0,-1.0,-1.0,2134,2355,-1,-1,-1,-1
ITP279^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP273^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT179_5,0.205466,0.470145,0.036002,2.029,94,3,8945,1061,1,1
SEV492^1,0.038972,0.001958,0.018997,17.433,0,17,0,0,1,1
ITP237^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT189_5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW553_5,0.178189,0.285642,0.020780,1.505,87,32,7108,411,1,1
ANA106^1,0.028822,0.000519,0.003430,0.070,1,2,8,1,1,1
DAT169^1,0.177643,0.095723,-1.0,-1.0,97,94,642,84,-1,-1
DAT285^1,0.008936,0.001087,-1.0,-1.0,3,1,24,3,-1,-1
DAT216^1,0.059286,0.070420,-1.0,-1.0,27,151,862,108,-1,-1
SCT243_5,0.211167,-1.0,-1.0,-1.0,46,17,-1,-1,-1,-1
COM061_5,0.340029,-1.0,-1.0,-1.0,86,58,-1,-1,-1,-1
LCL767_5,0.252593,12.338469,-1.0,-1.0,106,56,25380,1050,-1,-1
SWW534_5,0.254320,-1.0,-1.0,-1.0,80,33,-1,-1,-1,-1
ITP146^2,0.211161,0.048020,-1.0,-1.0,0,138,0,0,-1,-1
COM203^1,0.270826,-1.0,-1.0,-1.0,210,23,-1,-1,-1,-1
DAT183^1,0.191554,0.109557,-1.0,-1.0,89,3,1252,277,-1,-1
DAT240^1,0.233522,0.839463,0.000245,-1.0,264,109,14305,1217,0,-1
SEV472^1,0.033242,0.000742,0.003253,0.090,3,2,16,2,1,1
ITP011_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT256^1,0.370926,11.972628,-1.0,-1.0,175,9,94017,1622,-1,-1
ITP178^2,0.361440,-1.0,-1.0,-1.0,261,13,-1,-1,-1,-1
PRO021^1,0.611243,0.812112,-1.0,-1.0,334,3,15035,1266,-1,-1
DAT215^1,0.296525,0.644906,0.000432,-1.0,194,27,9496,1014,0,-1
DAT134^1,0.684865,0.854206,-1.0,-1.0,488,4,19602,1912,-1,-1
ITP203^2,0.773265,6.874831,-1.0,-1.0,182,152,54860,1480,-1,-1
ITP061^2,0.343590,0.297210,0.000240,30.164,184,195,4696,557,0,-1
SWV617_5,0.062708,0.003386,-1.0,-1.0,0,59,0,0,-1,-1
DAT296^1,0.029289,0.010916,0.000231,-1.0,12,3,344,24,0,-1
COM078_5,0.296750,-1.0,-1.0,-1.0,63,37,-1,-1,-1,-1
ANA130^1,0.039903,0.001531,-1.0,-1.0,1,19,8,1,-1,-1
DAT127^1,0.056742,0.000012,0.000219,0.225,0,1,0,0,0,0
DAT143^1,0.033960,0.012173,0.000283,-1.0,6,2,312,42,0,-1
ITP015^3,0.036127,0.004261,0.004212,0.147,9,19,50,9,1,1
ITP233^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM099_5,0.818794,-1.0,-1.0,-1.0,106,19,-1,-1,-1,-1
ITP051^2,0.042318,0.000018,0.000234,0.245,0,1,0,0,0,0
LCL791_5,0.273180,-1.0,-1.0,-1.0,17,118,-1,-1,-1,-1
COM195^1,0.216717,0.191739,0.017201,1.485,125,4,2964,573,1,1
ITP091^2,0.162145,0.234171,0.007352,1.232,155,151,3700,465,1,1
ITP223^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP232^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL802_5,0.235087,-1.0,-1.0,-1.0,24,120,-1,-1,-1,-1
ITP291^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP174^2,2.350730,-1.0,-1.0,-1.0,213,8,-1,-1,-1,-1
ITP153^2,0.315965,0.580910,0.042414,4.116,187,29,8875,1010,1,1
DAT280^1,0.032939,0.001023,0.001925,0.069,1,1,64,2,1,1
