name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
ITP259^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP212_2,2.837436,-1.0,0.000243,33.737,-1,-1,-1,-1,0,-1
COM032_5,0.069968,0.230431,0.000270,30.466,-1,-1,1130,287,0,-1
NUN007_5,0.023444,0.050011,0.000479,30.187,-1,-1,224,56,0,-1
ANA085^1,0.009362,0.015172,0.000278,30.027,-1,-1,0,0,0,-1
DAT250^1,0.104397,0.440803,0.000418,30.749,-1,-1,3919,765,0,-1
COM119_5,0.098575,-1.0,0.000303,30.141,-1,-1,-1,-1,0,-1
NUN014_5,0.012473,0.023300,0.000228,30.156,-1,-1,72,18,0,-1
SCT235_5,0.142853,-1.0,0.000256,30.332,-1,-1,-1,-1,0,-1
ITP269^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM062_5,0.176083,-1.0,0.000266,29.955,-1,-1,-1,-1,0,-1
ITP024_7,9.771298,-1.0,0.000254,39.521,-1,-1,-1,-1,0,-1
ITP021^3,0.009577,0.014882,0.004059,0.031,-1,-1,8,2,1,1
ITP015_3,0.011443,0.018775,0.003254,0.045,-1,-1,39,11,1,1
DAT243^1,0.174566,3.888408,0.000247,34.554,-1,-1,16021,613,0,-1
NUM935_5,0.028506,0.060556,0.000543,30.217,-1,-1,168,42,0,-1
COM045_5,0.061762,0.121358,0.001323,0.147,-1,-1,196,47,1,1
NUM999_5,0.031780,0.067082,0.000369,30.219,-1,-1,160,40,0,-1
ITP002_7,0.133123,1.659153,0.000239,31.806,-1,-1,5787,175,0,-1
DAT197^1,0.145146,-1.0,0.000291,20.303,-1,-1,-1,-1,0,1
ITP030^2,0.018222,0.022575,0.000180,0.032,-1,-1,0,0,0,0
NUN001_5,0.031433,0.074641,0.000273,30.236,-1,-1,206,54,0,-1
COM115_5,0.376118,-1.0,0.000267,30.329,-1,-1,-1,-1,0,-1
ITP258^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP240^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL759_5,0.072841,7.896156,0.024653,8.538,-1,-1,10913,42,1,1
COM091_5,0.197618,-1.0,0.000268,30.268,-1,-1,-1,-1,0,-1
ITP111^2,0.069057,0.154672,0.000239,29.855,-1,-1,560,100,0,-1
ITP255_2,4.682277,-1.0,0.000295,34.747,-1,-1,-1,-1,0,-1
NUN016_5,0.020276,0.048476,0.001759,0.070,-1,-1,224,56,1,1
SCT263_5,0.162713,0.319227,0.000222,30.479,-1,-1,2880,61,0,-1
COM162^1,0.044159,-1.0,0.000218,29.871,-1,-1,-1,-1,0,-1
LCL793_5,0.022606,0.032694,0.002486,0.053,-1,-1,0,0,1,1
SCT226_5,0.101640,3.483904,0.046083,3.827,-1,-1,16365,177,1,1
SWW513_5,0.034877,0.071910,0.002705,0.099,-1,-1,254,63,1,1
SWW531_5,0.036151,0.066069,0.000386,30.188,-1,-1,107,34,0,-1
DAT294^1,0.009159,0.018394,0.000222,2.637,-1,-1,22,6,0,1
ITP265_2,4.055541,-1.0,0.000272,35.143,-1,-1,-1,-1,0,-1
ITP002_3,0.023084,2.503750,0.000218,32.582,-1,-1,5452,116,0,-1
COM206^1,0.122162,0.953306,0.015555,1.167,-1,-1,16348,676,1,1
