name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_1_6_10_-1_2_1_500_4_10
COM093_5,1.759223,-1.0,-1.0,-1.0,186,133,-1,-1,-1,-1
ITP080^2,1.508547,2.432926,0.096619,7.131,537,125,18951,1322,1,1
ITP282^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP103^2,0.387082,0.105005,-1.0,-1.0,41,365,254,38,-1,-1
DAT315^1,-1.0,-1.0,-1.0,0.012,-1,-1,-1,-1,-1,1
SCT209_5,1.457363,-1.0,-1.0,-1.0,395,212,-1,-1,-1,-1
SWV779_5,-1.0,-1.0,-1.0,0.101,-1,-1,-1,-1,-1,1
LCL817_5,2.435253,-1.0,-1.0,-1.0,287,292,-1,-1,-1,-1
LCL775_5,6.980967,3.153599,-1.0,-1.0,311,294,13970,671,-1,-1
SEV486^1,-1.0,-1.0,-1.0,0.056,-1,-1,-1,-1,-1,1
DAT115^1,0.438598,0.782939,0.036727,1.919,520,38,7377,1058,1,1
NUM955_5,0.162710,0.073151,-1.0,-1.0,22,261,192,24,-1,-1
COM120_5,2.804397,-1.0,-1.0,-1.0,264,343,-1,-1,-1,-1
DAT286^1,4.312341,0.784874,-1.0,-1.0,268,150,14756,836,-1,-1
ITP256^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT120^1,0.439497,0.464909,0.014303,5.685,407,21,4897,778,1,1
NUM972_5,0.152493,0.063393,0.006629,1.159,17,200,312,39,1,1
DAT307^1,1.488822,0.204985,-1.0,-1.0,105,134,1174,158,-1,-1
COM047_5,2.022534,5.528955,-1.0,-1.0,315,331,38598,695,-1,-1
SWV771_5,0.574068,3.352873,-1.0,-1.0,372,192,92708,1128,-1,-1
DAT117^1,0.478344,1.372486,-1.0,-1.0,602,11,41982,1219,-1,-1
ITP252^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT214_5,0.584866,1.156546,0.027767,3.395,343,247,34628,1171,1,1
DAT185^1,0.531199,0.535172,-1.0,-1.0,280,23,11056,606,-1,-1
ITP221_2,4.358150,-1.0,-1.0,-1.0,1760,1861,-1,-1,-1,-1
ITP260_2,8.304149,-1.0,-1.0,-1.0,4015,3346,-1,-1,-1,-1
DAT208^1,0.406237,0.570974,0.036269,2.392,370,156,7964,1052,1,1
ITP009_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SEV500^1,7.274323,4.179883,0.000327,-1.0,452,699,83250,2263,0,-1
LCL790_5,0.689947,-1.0,-1.0,-1.0,244,388,-1,-1,-1,-1
ITP052^2,2.742752,1.521193,0.043268,5.883,387,219,25617,1171,1,1
DAT249^1,0.894918,1.045460,-1.0,-1.0,496,46,17488,1079,-1,-1
NUM937_5,0.131429,0.070055,-1.0,-1.0,20,222,432,54,-1,-1
SWW469_5,0.292634,0.633990,0.000258,29.873,96,67,4224,325,0,-1
ITP278^4,2.536425,-1.0,-1.0,-1.0,1742,1436,-1,-1,-1,-1
ITP259_2,3.912459,-1.0,-1.0,-1.0,307,1922,-1,-1,-1,-1
DAT220^1,6.035455,-1.0,-1.0,-1.0,682,47,-1,-1,-1,-1
ANA094^1,7.664885,0.135236,-1.0,-1.0,17,3,780,40,-1,-1
SWW475_5,1.376203,-1.0,-1.0,-1.0,1033,99,-1,-1,-1,-1
NUM938_5,0.211689,0.109484,-1.0,-1.0,61,172,456,57,-1,-1
ITP129^2,0.181238,0.225312,0.000253,-1.0,138,320,2544,318,0,-1
LCL833_5,1.948025,-1.0,-1.0,-1.0,288,354,-1,-1,-1,-1
DAT276^1,5.953739,-1.0,-1.0,-1.0,366,29,-1,-1,-1,-1
LCL766_5,2.427399,-1.0,-1.0,-1.0,279,429,-1,-1,-1,-1
