name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
COM166^1,0.090420,0.281025,0.000210,-1.0,165,66,4644,507,0,-1
ITP207^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP103^2,0.083551,0.073657,0.006454,0.346,38,233,250,38,1,1
PRO028^1,0.258510,0.560179,-1.0,-1.0,408,2,6970,685,-1,-1
NUM950_5,0.029090,0.033651,-1.0,-1.0,20,70,320,40,-1,-1
NUM925^4,0.874143,0.634565,0.029007,6.923,0,3761,0,0,1,1
LCL775_5,0.058898,0.106798,0.010887,0.372,100,93,3175,490,1,1
DAT157^1,0.047379,0.046160,0.003705,0.127,85,132,634,85,1,1
SEV464^1,0.264544,0.044456,-1.0,-1.0,22,46,1286,74,-1,-1
ITP264_2,8.139188,-1.0,-1.0,-1.0,4398,3081,-1,-1,-1,-1
COM110_5,0.309528,-1.0,-1.0,-1.0,79,43,-1,-1,-1,-1
ITP274^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT210_5,0.121741,-1.0,-1.0,-1.0,79,67,-1,-1,-1,-1
COM070_5,0.091217,-1.0,-1.0,-1.0,63,43,-1,-1,-1,-1
ITP041^2,0.188758,-1.0,-1.0,-1.0,291,68,-1,-1,-1,-1
ITP213_2,6.539354,-1.0,-1.0,-1.0,3013,1302,-1,-1,-1,-1
ITP016^3,0.021584,0.001547,-1.0,-1.0,0,60,0,0,-1,-1
ITP277^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP076^2,0.062163,0.037977,-1.0,-1.0,57,114,0,0,-1,-1
COM198^1,0.219215,1.622251,-1.0,-1.0,289,4,21099,1847,-1,-1
ITP021_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW569_5,0.244978,-1.0,-1.0,-1.0,82,49,-1,-1,-1,-1
ANA115^1,-1.0,-1.0,-1.0,0.028,-1,-1,-1,-1,-1,1
SWW571_5,0.244311,12.051529,0.000246,-1.0,88,34,39919,754,0,-1
LCL822_5,0.247388,-1.0,-1.0,-1.0,33,121,-1,-1,-1,-1
SCT169_5,0.055028,0.084353,0.005020,21.256,121,3,1428,249,1,1
DAT117^1,0.151819,0.325880,0.040332,7.065,414,1,3336,405,1,1
ITP247^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW518_5,0.130761,-1.0,-1.0,-1.0,140,10,-1,-1,-1,-1
ITP270_2,4.641131,-1.0,-1.0,-1.0,573,2044,-1,-1,-1,-1
SCT203_5,0.181172,-1.0,-1.0,-1.0,84,83,-1,-1,-1,-1
LCL823_5,0.258380,-1.0,-1.0,-1.0,35,110,-1,-1,-1,-1
ITP294^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP159^2,0.142867,1.244522,0.000246,2.026,315,1,24927,1951,0,1
DAT206^1,0.175894,0.962952,0.091365,3.404,398,24,15199,1989,1,1
DAT255^1,0.130946,1.853293,0.000318,-1.0,211,4,34906,1843,0,-1
ITP022_3,0.049177,0.135993,-1.0,-1.0,6,255,2192,83,-1,-1
NUN013_5,0.032049,0.040051,-1.0,-1.0,22,78,352,44,-1,-1
SCT183_5,0.111748,-1.0,-1.0,-1.0,72,26,-1,-1,-1,-1
COM071_5,0.108190,-1.0,-1.0,-1.0,70,45,-1,-1,-1,-1
SCT238_5,0.060356,0.525959,-1.0,-1.0,107,12,13782,1018,-1,-1
NUM993_5,0.034435,0.060185,-1.0,-1.0,29,110,456,58,-1,-1
ITP083^2,0.157459,0.430625,0.000463,-1.0,221,92,7677,929,0,-1
DAT189^1,0.126645,0.186794,0.004696,0.420,296,3,2026,296,1,1
COM184^1,0.127925,0.235061,0.033172,0.754,233,87,3636,425,1,1
ITP220^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT261^1,0.172390,0.001412,0.000214,-1.0,4,1,16,0,0,-1
SEV465^1,0.088277,0.028172,0.000290,29.802,8,16,971,60,0,-1
ITP080^2,0.291391,0.863262,0.098360,4.089,388,116,11631,1987,1,1
DAT135^1,0.073333,0.301030,-1.0,-1.0,164,160,7240,925,-1,-1
DAT276^1,0.332510,1.018636,0.009527,1.666,57,1,40570,740,1,1
ITP282^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW515_5,0.175494,-1.0,-1.0,-1.0,127,13,-1,-1,-1,-1
DAT315^1,-1.0,-1.0,-1.0,0.011,-1,-1,-1,-1,-1,1
SWW554_5,0.092192,22.210554,0.000525,29.847,107,5,78208,1417,0,-1
SWV779_5,-1.0,-1.0,-1.0,0.058,-1,-1,-1,-1,-1,1
COM093_5,0.245867,-1.0,-1.0,-1.0,86,13,-1,-1,-1,-1
DAT115^1,0.116612,0.308832,0.040555,1.129,431,3,6531,1065,1,1
SEV486^1,-1.0,-1.0,-1.0,0.057,-1,-1,-1,-1,-1,1
SCT209_5,0.152444,-1.0,-1.0,-1.0,72,67,-1,-1,-1,-1
LCL840_5,0.073264,0.160309,0.010949,0.351,7,122,2170,83,1,1
LCL817_5,0.120208,-1.0,-1.0,-1.0,23,106,-1,-1,-1,-1
NUM972_5,0.027360,0.037165,0.003566,0.094,22,80,352,44,1,1
ITP256^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP293_2,6.104109,-1.0,-1.0,-1.0,4384,2715,-1,-1,-1,-1
SCT214_5,0.065290,0.100878,0.008465,0.234,84,9,1595,120,1,1
NUM955_5,0.026405,0.024922,-1.0,-1.0,20,71,160,20,-1,-1
COM120_5,0.066351,14.534498,-1.0,-1.0,43,54,33644,668,-1,-1
DAT286^1,0.144609,0.017213,0.000262,-1.0,30,1,194,24,0,-1
DAT120^1,0.101310,0.220253,0.010435,8.733,293,20,3540,458,1,1
ITP252^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT307^1,0.028420,0.018887,0.000212,-1.0,33,14,104,14,0,-1
ITP260_2,7.212170,-1.0,-1.0,-1.0,4015,3344,-1,-1,-1,-1
COM047_5,0.041013,0.141592,-1.0,-1.0,30,50,2337,146,-1,-1
SWV771_5,0.089638,0.212021,-1.0,-1.0,112,23,3064,505,-1,-1
DAT185^1,0.106852,0.331920,-1.0,-1.0,208,6,4590,898,-1,-1
ITP009_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT208^1,0.138416,0.520167,0.034325,2.330,366,130,7520,1255,1,1
SEV500^1,0.133263,0.029273,-1.0,-1.0,28,8,462,34,-1,-1
ITP221_2,4.591243,-1.0,-1.0,-1.0,1761,1870,-1,-1,-1,-1
LCL790_5,0.110572,-1.0,-1.0,-1.0,26,143,-1,-1,-1,-1
DAT249^1,0.124759,0.314738,-1.0,-1.0,245,4,5431,953,-1,-1
ITP259_2,3.589472,-1.0,-1.0,-1.0,307,1929,-1,-1,-1,-1
ITP278^4,2.278024,-1.0,-1.0,-1.0,1669,1406,-1,-1,-1,-1
NUM937_5,0.032719,0.046587,-1.0,-1.0,25,84,400,50,-1,-1
SWW469_5,0.036946,0.087971,0.000244,-1.0,14,38,616,112,0,-1
DAT220^1,0.246138,-1.0,-1.0,-1.0,250,34,-1,-1,-1,-1
ANA094^1,2.401250,0.196524,-1.0,-1.0,14,3,356,48,-1,-1
SWW475_5,0.254239,-1.0,-1.0,-1.0,98,34,-1,-1,-1,-1
NUM938_5,0.018296,0.028073,-1.0,-1.0,25,77,400,50,-1,-1
ITP129^2,0.066759,0.125089,0.000202,-1.0,111,129,1776,222,0,-1
LCL833_5,0.080693,9.658841,-1.0,-1.0,10,124,14149,128,-1,-1
LCL766_5,0.108099,-1.0,-1.0,-1.0,62,100,-1,-1,-1,-1
LCL746_5,0.092773,-1.0,-1.0,-1.0,24,105,-1,-1,-1,-1
COM152^1,0.124881,0.171040,-1.0,-1.0,168,2,3152,276,-1,-1
SCT194_5,0.117629,-1.0,-1.0,-1.0,66,13,-1,-1,-1,-1
SCT236_5,0.143024,-1.0,-1.0,-1.0,47,44,-1,-1,-1,-1
SWW475^2,0.180560,0.051472,-1.0,-1.0,0,363,0,0,-1,-1
DAT174^1,0.081400,0.217526,-1.0,-1.0,177,1,3824,624,-1,-1
DAT235^1,0.182299,0.186468,-1.0,-1.0,198,34,1952,198,-1,-1
ITP237_2,4.541426,-1.0,-1.0,-1.0,2515,1990,-1,-1,-1,-1
DAT150^1,0.127616,8.383137,0.000450,-1.0,289,5,67928,1993,0,-1
DAT283^1,0.321239,0.050066,-1.0,-1.0,20,1,1762,91,-1,-1
SCT199_5,0.134725,-1.0,-1.0,-1.0,33,51,-1,-1,-1,-1
COM088_5,0.103197,-1.0,-1.0,-1.0,115,32,-1,-1,-1,-1
COM209^1,0.125441,1.102512,-1.0,-1.0,185,17,25958,1378,-1,-1
ITP219_2,5.013209,-1.0,-1.0,-1.0,2249,621,-1,-1,-1,-1
ITP003_3,0.053137,0.472387,-1.0,-1.0,40,239,8027,452,-1,-1
SWV731_5,0.050799,0.068610,-1.0,-1.0,14,119,2055,95,-1,-1
SWW475^1,0.139804,0.044515,-1.0,-1.0,0,285,0,0,-1,-1
DAT223^1,0.256291,-1.0,-1.0,-1.0,283,2,-1,-1,-1,-1
COM030_5,0.040628,0.141384,-1.0,-1.0,30,47,2423,174,-1,-1
DAT279^1,0.282831,0.005304,0.000284,-1.0,9,1,16,0,0,-1
ITP025^3,0.030988,0.020012,-1.0,-1.0,14,118,254,21,-1,-1
ITP052^2,0.142192,0.486739,0.000281,29.902,213,54,8317,1231,0,-1
#30_-1_4_20_-1_3_12_10_-1_30_2_2000_4_10
DAT282^1,-1.0,-1.0,-1.0,0.008,-1,-1,-1,-1,-1,1
SCT177_5,-1.0,-1.0,-1.0,0.032,-1,-1,-1,-1,-1,0
ANA071^1,0.025868,0.001624,0.004094,0.054,1,19,0,0,1,1
ANA072^1,0.021912,0.001592,0.006190,0.052,1,16,0,0,1,1
ANA092^1,0.021116,0.001746,0.008987,0.051,0,19,0,0,1,1
LCL755_5,0.033055,0.005618,0.003222,0.070,0,84,0,0,1,1
ANA084^1,0.022116,0.001608,0.004710,0.052,1,17,0,0,1,1
SCT229_5,-1.0,-1.0,-1.0,0.088,-1,-1,-1,-1,-1,1
ANA108^1,0.028410,0.004160,0.002584,0.049,12,13,0,0,1,1
ITP123^2,0.056967,0.014213,0.004819,0.152,0,205,0,0,1,1
ITP101^2,0.088683,0.065054,0.001805,0.211,64,83,398,55,1,1
COM037_5,0.071723,0.054796,0.000954,0.160,46,31,392,47,1,1
SWW504_5,0.050960,0.111110,0.013756,0.275,14,39,560,126,1,1
ANA079^1,0.021883,0.001570,0.004436,0.049,2,21,16,2,1,1
ITP009^3,0.045240,0.029446,0.014743,0.157,18,58,977,54,1,1
DAT124^1,0.120610,0.269900,0.015843,0.729,272,14,3678,495,1,1
ITP165^2,0.129325,0.725385,0.042248,1.711,333,23,14095,1975,1,1
DAT234^1,0.240741,0.250175,0.000305,11.391,217,47,2858,217,0,1
ITP037^2,-1.0,-1.0,-1.0,0.145,-1,-1,-1,-1,-1,1
ITP011_3,0.043435,3.105831,0.000395,29.804,46,47,14794,526,0,-1
COM179^1,0.145570,0.914142,0.000536,29.952,266,9,20298,1981,0,-1
ITP004^3,0.025718,0.007855,-1.0,-1.0,15,45,84,12,-1,-1
DAT306^1,0.100442,0.010892,0.000210,-1.0,18,8,124,15,0,-1
NUM966_5,0.027350,0.030894,-1.0,-1.0,28,22,448,56,-1,-1
SWV597_5,0.027350,0.018308,-1.0,-1.0,10,73,160,20,-1,-1
ANA088^1,0.022994,0.001995,-1.0,-1.0,2,22,16,2,-1,-1
SEV462^1,0.192798,0.069242,-1.0,-1.0,36,15,2128,240,-1,-1
SWV621_5,0.054086,13.412751,-1.0,-1.0,15,51,12093,134,-1,-1
COM026_5,0.047134,0.188055,-1.0,-1.0,94,22,4859,580,-1,-1
DAT151^1,0.067948,0.037555,-1.0,-1.0,55,67,396,55,-1,-1
COM200^1,0.076274,0.154487,-1.0,-1.0,101,45,1616,202,-1,-1
SWV665_5,0.091406,0.463182,-1.0,-1.0,124,70,8140,867,-1,-1
LCL752_5,0.084208,-1.0,-1.0,-1.0,9,130,-1,-1,-1,-1
LCL813_5,0.102548,3.834155,-1.0,-1.0,13,117,11000,175,-1,-1
DAT184^1,0.114399,0.296440,-1.0,-1.0,188,6,3994,803,-1,-1
LCL829_5,0.112250,-1.0,-1.0,-1.0,70,25,-1,-1,-1,-1
COM068_5,0.114036,-1.0,-1.0,-1.0,63,43,-1,-1,-1,-1
COM072_5,0.125564,-1.0,-1.0,-1.0,63,50,-1,-1,-1,-1
ITP042^2,0.162484,2.707266,-1.0,-1.0,293,71,62696,1989,-1,-1
ITP265^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP158^2,0.177210,8.734817,-1.0,-1.0,217,32,49126,1992,-1,-1
LCL820_5,0.214475,-1.0,-1.0,-1.0,33,104,-1,-1,-1,-1
SWW546_5,0.034220,0.047503,-1.0,-1.0,35,3,798,116,-1,-1
SEV492^1,0.019515,0.000701,0.010218,0.084,0,17,0,0,1,1
LCL837_5,0.075713,0.056265,-1.0,-1.0,4,107,904,35,-1,-1
SCT250_5,0.100023,-1.0,-1.0,-1.0,47,88,-1,-1,-1,-1
COM114_5,0.277520,-1.0,-1.0,-1.0,84,27,-1,-1,-1,-1
ITP243^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT171^1,0.076071,0.057008,-1.0,-1.0,49,59,390,51,-1,-1
COM109_5,0.324180,-1.0,-1.0,-1.0,98,30,-1,-1,-1,-1
ITP018_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP280^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SEV493^1,0.021822,0.000680,0.010856,0.127,0,21,0,0,1,1
PRO022^1,0.274342,0.683900,0.000438,-1.0,475,5,10000,1005,0,-1
ITP230^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP177^2,0.239404,-1.0,-1.0,-1.0,296,30,-1,-1,-1,-1
ITP250^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP281^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT205_5,0.214692,-1.0,-1.0,-1.0,75,90,-1,-1,-1,-1
NUM970_5,0.031522,0.032764,0.002861,0.132,13,100,208,26,1,1
ITP121^2,0.059004,0.009038,0.006077,0.234,0,143,0,0,1,1
SWW567_5,0.327701,-1.0,-1.0,-1.0,77,39,-1,-1,-1,-1
NUM985_5,0.028598,0.042717,-1.0,-1.0,30,85,480,60,-1,-1
ITP238^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP290^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP192^2,0.145785,0.137212,0.030248,0.704,62,239,1180,290,1,1
DAT229^1,0.147808,0.382140,0.029412,1.280,273,16,5279,546,1,1
ITP168^2,0.274918,0.478865,0.035823,1.244,105,318,10456,948,1,1
SWW533_5,0.052551,0.234064,0.016474,0.430,62,4,4326,424,1,1
LCL763_5,0.111708,0.624191,0.033331,1.119,60,110,9820,446,1,1
COM168^1,0.084383,0.179560,-1.0,-1.0,120,78,2510,318,-1,-1
ITP019^3,0.014784,0.000936,0.002138,0.088,7,31,0,0,1,1
DAT192^1,0.159209,0.456583,0.024686,1.937,330,2,6330,1192,1,1
ITP028^2,0.121904,1.143013,0.086785,2.488,148,13,22405,1448,1,1
ITP200^2,0.146386,0.433785,0.025328,1.143,144,131,10968,774,1,1
ITP207_2,4.426281,-1.0,-1.0,-1.0,1215,1229,-1,-1,-1,-1
ITP237^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP279^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP239_2,5.540345,-1.0,-1.0,-1.0,2134,2353,-1,-1,-1,-1
SCT179_5,0.060058,0.439231,0.028820,0.859,94,3,8252,934,1,1
ITP273^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL767_5,0.176801,4.989573,0.035110,6.062,121,55,19710,934,1,1
ITP237^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW553_5,0.152016,0.276571,0.020693,0.702,86,33,7072,402,1,1
NUM973_5,0.037174,0.072040,0.007831,14.623,35,77,840,105,1,1
ANA106^1,-1.0,-1.0,-1.0,0.038,-1,-1,-1,-1,-1,1
SCT189_5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM203^1,0.133959,27.661482,0.000448,28.814,208,21,103878,1989,0,1
DAT275^1,0.318678,0.026398,0.000363,-1.0,8,1,436,30,0,-1
DAT285^1,0.037513,0.012140,-1.0,-1.0,17,28,48,6,-1,-1
DAT169^1,0.095216,0.101243,-1.0,-1.0,97,90,642,84,-1,-1
DAT216^1,0.066545,0.076854,-1.0,-1.0,27,149,862,108,-1,-1
SCT243_5,0.111247,-1.0,-1.0,-1.0,46,17,-1,-1,-1,-1
DAT183^1,0.071317,0.113373,-1.0,-1.0,86,1,1206,265,-1,-1
COM061_5,0.191941,-1.0,-1.0,-1.0,86,58,-1,-1,-1,-1
SWW534_5,0.164349,-1.0,-1.0,-1.0,79,33,-1,-1,-1,-1
ITP146^2,0.165353,0.048986,-1.0,-1.0,0,138,0,0,-1,-1
SEV472^1,0.129493,0.022117,0.000241,0.212,44,4,162,20,0,1
ITP011_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT256^1,0.226991,10.657556,0.000323,-1.0,180,9,91369,1653,0,-1
DAT240^1,0.304033,0.846751,0.000227,30.220,264,108,14227,1223,0,-1
DAT134^1,0.225841,0.860345,-1.0,-1.0,486,4,19139,1914,-1,-1
DAT215^1,0.142239,0.606630,0.000466,-1.0,199,25,8964,1019,0,-1
PRO021^1,0.280249,0.869811,-1.0,-1.0,333,3,14995,1266,-1,-1
